ID,Name,Email,PreferredGame,SkillLevel,PreferredRole,PersonalityScore,PersonalityType
c299f86c-e290-44c2-9182-78a6b38b9f1d,Member_14_5,member14_5@example.com,Valorant,2,STRATEGIST,89,BALANCED
ac83b056-4eff-417f-9392-9e95bf359685,Member_5_5,member5_5@example.com,CS:GO,2,SUPPORTER,79,BALANCED
02d8fc74-8d80-4ff2-ac1e-d08740b8793a,Member_12_5,member12_5@example.com,CS:GO,7,DEFENDER,79,BALANCED
5e244362-5787-43a0-9d9d-023f72629e59,Member_3_5,member3_5@example.com,FIFA,2,SUPPORTER,71,BALANCED
49481f3b-3989-4c77-b37a-6303c0356425,Member_15_5,member15_5@example.com,Badminton,7,ATTACKER,88,BALANCED
720a4fd8-dab5-4361-aaa0-25dd82e3ed74,Member_18_4,member18_4@example.com,FIFA,2,DEFENDER,85,BALANCED
e7726eb9-eac0-4d70-99e4-303e2e052ec3,Member_1_4,member1_4@example.com,Valorant,3,ATTACKER,83,BALANCED
c791b47b-e191-44e5-a4c1-18683b456df8,Member_13_4,member13_4@example.com,CS:GO,3,ATTACKER,80,BALANCED
d44c3d0f-06a7-4f89-a793-64dd21a40ade,Member_5_4,member5_4@example.com,Basketball,3,ATTACKER,80,BALANCED
b6bed31a-01c3-40ed-bfa0-360c37ee64a2,Member_3_3,member3_3@example.com,Badminton,4,SUPPORTER,75,BALANCED
a7d56eca-30d9-4567-a90e-c1ec92e9dcce,Member_19_3,member19_3@example.com,FIFA,7,SUPPORTER,83,BALANCED
142fdd1c-5565-4d8d-9868-385bf15a9795,Member_4_5,member4_5@example.com,Basketball,7,DEFENDER,88,BALANCED
4e56f5fa-ff9f-41ac-aacb-81351b3bff87,Thinker_9_1,thinker9_1@example.com,Basketball,5,DEFENDER,58,THINKER
2ae47f7a-6b38-453a-b645-4001950ef818,Thinker_4_1,thinker4_1@example.com,DOTA 2,5,DEFENDER,51,THINKER
eca00256-ff79-45d8-b4ca-4a64c6cdc032,Member_19_4,member19_4@example.com,Basketball,2,STRATEGIST,80,BALANCED
6f773e1e-cec2-4d35-8421-a9ee50653d39,Thinker_6_1,thinker6_1@example.com,Badminton,5,DEFENDER,65,THINKER
c383ca5d-99f5-4402-8d91-68b678d8bc94,Thinker_19_1,thinker19_1@example.com,Valorant,6,STRATEGIST,55,THINKER
e8faf164-55e4-4b31-9aa0-fcce5e4a2cc4,Member_11_3,member11_3@example.com,Chess,7,ATTACKER,74,BALANCED
88bab159-2575-4fa3-9266-23cdf0f081cc,Thinker_12_1,thinker12_1@example.com,Valorant,6,ATTACKER,52,THINKER
56ea2a20-c0a2-4c4e-96e0-16e28c8abeb5,Thinker_14_1,thinker14_1@example.com,Chess,6,DEFENDER,69,THINKER
9f9122ec-fd2e-45f6-be22-4bc483674325,Member_7_4,member7_4@example.com,DOTA 2,6,STRATEGIST,74,BALANCED
972b527b-37fd-416e-bb23-41791295b0de,Thinker_5_1,thinker5_1@example.com,Valorant,6,DEFENDER,53,THINKER
79c37eb3-f49c-457f-a9e4-e4e0a467f70a,Thinker_3_1,thinker3_1@example.com,CS:GO,4,ATTACKER,69,THINKER
8faf0c07-abe6-42ab-8f12-400d1b07a088,Member_7_3,member7_3@example.com,CS:GO,7,STRATEGIST,73,BALANCED
c056dcd2-7653-4dd6-9f14-6433b39a424b,Member_10_5,member10_5@example.com,FIFA,5,SUPPORTER,73,BALANCED
baf1f6c1-e8c6-4b72-900a-22403338f965,Member_11_4,member11_4@example.com,FIFA,5,SUPPORTER,72,BALANCED
4e16d89f-dc71-4e53-b849-b69d038df6fe,Member_11_5,member11_5@example.com,Basketball,2,DEFENDER,70,BALANCED
